strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,1401032837516188532655727854153077553878150929145681948327766209536482579359189825259429065896900036825861682964056695507219644416,10680729.25730004,198.08,4.53
m1,1,1401032837516188532655727854153077553878150929145681948327766209536482579359189825259429065896900036825861682964056695507219644416,10680729.25730004,198.08,21.10
m2,1,1401032837516188532655727854153077553878150929145681948327766209536482579359189825259429065896900036825861682964056695507219644416,4554636.0781016415,198.27,2.46
