strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,113277643972041381614259605309719074395362297284042899118279694878296936131231422040331330862992576671394330394818856346701004167035637202944,19842621.678402573,264.56,5.90
m1,2,302333674207681344340738488027010805347562614998896397746382804290565509261201650729037177981566002435041330377400873423261497556992,19554503.155201975,264.56,109.51
m2,2,113277643972041381614259605309719074395362297284042899118279694878296936131231422040331330862992576671394330394818856346701004167035637202944,9414305.21459754,260.37,3.33
