instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__20relations__28,1,2575753787549759149286320888610816,128024.62810000067,2575753787549759149286320888610816,128024.62810000067,2575753787549759149286320888610816,48657.64740000031
TREE_graph__20relations__28,2,2575753787549759149286320888610816,128024.62810000067,82403538858260291968783469248512,127100.12970000046,2575753787549759149286320888610816,48657.64740000031
TREE_graph__20relations__28,3,2575753787549759149286320888610816,128024.62810000067,215286929092395698875517288579072,126926.73900000053,2575753787549759149286320888610816,48657.64740000031
TREE_graph__20relations__28,4,2575753787549759149286320888610816,128024.62810000067,504674437768124599120759928871976960,124908.01290000079,2575753787549759149286320888610816,48657.64740000031
TREE_graph__20relations__28,5,2575753787549759149286320888610816,128024.62810000067,504674437768124599120759928871976960,124876.43430000075,2575753787549759149286320888610816,48657.64740000031
TREE_graph__20relations__16,1,37863559889041620226235403444237417578496,113919.17480000004,37863559889041620226235403444237417578496,113919.17480000004,37863559889041620226235403444237417578496,37438.59010000115
TREE_graph__20relations__16,2,37863559889041620226235403444237417578496,113919.17480000004,37863559889041620226235403444237417578496,113602.8251,37863559889041620226235403444237417578496,37438.59010000115
TREE_graph__20relations__16,3,37863559889041620226235403444237417578496,113919.17480000004,37863559889041620226235403444237417578496,113070.00850000005,37863559889041620226235403444237417578496,37438.59010000115
TREE_graph__20relations__16,4,37863559889041620226235403444237417578496,113919.17480000004,577431814002699907858810692769415168,110916.13890000005,37863559889041620226235403444237417578496,37438.59010000115
TREE_graph__20relations__16,5,37863559889041620226235403444237417578496,113919.17480000004,577431814002699907858810692769415168,110916.13890000005,37863559889041620226235403444237417578496,37438.59010000115
TREE_graph__20relations__3,1,39315627231821154895423574066069504,113936.72429999939,39315627231821154895423574066069504,113936.72429999939,39315627231821154895423574066069504,40249.71249999996
TREE_graph__20relations__3,2,39315627231821154895423574066069504,113936.72429999939,93547185493385496237544592707158016,111258.47299999952,39315627231821154895423574066069504,40249.71249999996
TREE_graph__20relations__3,3,39315627231821154895423574066069504,113936.72429999939,93547185493385496237544592707158016,111178.04329999944,39315627231821154895423574066069504,40249.71249999996
TREE_graph__20relations__3,4,39315627231821154895423574066069504,113936.72429999939,93547185493385496237544592707158016,111178.04329999944,39315627231821154895423574066069504,40249.71249999996
TREE_graph__20relations__3,5,39315627231821154895423574066069504,113936.72429999939,93547185493385496237544592707158016,111168.63009999957,39315627231821154895423574066069504,40249.71249999996
TREE_graph__20relations__43,1,37635032672178725324857469488701697425408,102494.21809999975,37635032672178725324857469488701697425408,102494.21809999975,37635032672178725324857469488701697425408,35524.871199999696
TREE_graph__20relations__43,2,37635032672178725324857469488701697425408,102494.21809999975,520412610507529388817901168885760,101817.96209999992,37635032672178725324857469488701697425408,35524.871199999696
TREE_graph__20relations__43,3,37635032672178725324857469488701697425408,102494.21809999975,520412610507529388817901168885760,101817.96209999992,37635032672178725324857469488701697425408,35524.871199999696
TREE_graph__20relations__43,4,37635032672178725324857469488701697425408,102494.21809999975,520412610507529388817901168885760,101817.96209999992,37635032672178725324857469488701697425408,35524.871199999696
TREE_graph__20relations__43,5,37635032672178725324857469488701697425408,102494.21809999975,305527528712156553123201024,101396.59469999983,37635032672178725324857469488701697425408,35524.871199999696
TREE_graph__20relations__14,1,395889901097650885968420405248,105902.47900000017,395889901097650885968420405248,105902.47900000017,395889901097650885968420405248,44206.76220000104
TREE_graph__20relations__14,2,395889901097650885968420405248,105902.47900000017,395889901097650885968420405248,105902.47900000017,395889901097650885968420405248,44206.76220000104
TREE_graph__20relations__14,3,395889901097650885968420405248,105902.47900000017,395889901097650885968420405248,105902.47900000017,395889901097650885968420405248,44206.76220000104
TREE_graph__20relations__14,4,395889901097650885968420405248,105902.47900000017,173399627937502519392757625881886720,105192.42460000014,395889901097650885968420405248,44206.76220000104
TREE_graph__20relations__14,5,395889901097650885968420405248,105902.47900000017,173399627937502519392757625881886720,105121.505,395889901097650885968420405248,44206.76220000104
