strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,29288954318777723584879131271214843973628016851796554006775069671424,2095116.1971999833,114.63,2.15
m1,1,29288954318777723584879131271214843973628016851796554006775069671424,2095116.1971999833,114.63,9.59
m2,1,29288954318777723584879131271214843973628016851796554006775069671424,671768.5401999672,108.59,1.17
