strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,270.68,6.14
m1,3,2665954169519560423681674789743147452968763130831558078033950393071248222851254494302681987582546921690546529852490514432,19766000.863703437,270.68,304.77
m2,3,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,9384794.161703931,269.77,3.36
