strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,6818816755468441338077662438529554777257271161956516968683741615338739883868535598828333746809139498852693606763604028834797810260040948383744,20220329.73359735,269.56,5.89
m1,3,689195933501763033298801409786237258906712347121965456973234555419432331589669991511530654415074435305616497863178739904203980800,20078593.997197706,269.56,367.62
m2,3,6818816755468441338077662438529554777257271161956516968683741615338739883868535598828333746809139498852693606763604028834797810260040948383744,9281802.354495065,262.78,3.22
