strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,444260492989638563539870706011220449696162870634895344609520653330084017764056074461087185169448683012593025024,18941047.224100813,270.41,5.94
m1,3,68896513783617896832248296419008064329074425834869968653277489006693636741015379069349966282013972038248353321186238958261074159215832396722077696,18770044.136400864,270.41,384.20
m2,3,444260492989638563539870706011220449696162870634895344609520653330084017764056074461087185169448683012593025024,9092910.235901112,268.71,3.18
