strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,197.88,4.35
m1,2,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,197.88,76.53
m2,2,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,4581143.090998749,196.22,2.34
