strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,1989391955809798153367001032507414805720050978006539924583104006497854642283930529598983153900150295340615857078272,10872476.27450061,261.43,4.57
m1,1,1989391955809798153367001032507414805720050978006539924583104006497854642283930529598983153900150295340615857078272,10872476.27450061,261.43,21.06
m2,1,1989391955809798153367001032507414805720050978006539924583104006497854642283930529598983153900150295340615857078272,4599460.459398629,192.59,2.52
