strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,12149900866620274132195676829947963810271730217995295775914914838740992,649212.7401000012,71.91,1.13
m1,2,147070700753310614354717009326850523185085190160701850076380055732224,648322.5485999989,71.91,19.80
m2,2,12149900866620274132195676829947963810271730217995295775914914838740992,182502.5369000048,70.13,0.63
