strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,88095013521996412555461030483714879151089617760399568253856044375569828205721288704,10958130.720200006,199.60,4.53
m1,1,88095013521996412555461030483714879151089617760399568253856044375569828205721288704,10958130.720200006,199.60,89.28
m2,1,88095013521996412555461030483714879151089617760399568253856044375569828205721288704,4485674.280501219,198.53,2.62
