strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,4884786525208746653862218475674400234794933726705223844047836996674900167095144717572532746407903232,10782925.599100487,198.19,4.57
m1,1,4884786525208746653862218475674400234794933726705223844047836996674900167095144717572532746407903232,10782925.599100487,198.19,20.91
m2,1,4884786525208746653862218475674400234794933726705223844047836996674900167095144717572532746407903232,4629745.729301838,197.10,2.47
