strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,12205027078160930400683593335663326095657294179502294610895147591545242141632275607486271604466962761195680554493598350749680382509056,19675998.495701183,268.75,6.03
m1,3,16486098998830453136601475317703842193422801551349840873944670758610829158308392648877354035420749305847562850176820565770240,19641495.978601072,268.75,317.21
m2,3,12205027078160930400683593335663326095657294179502294610895147591545242141632275607486271604466962761195680554493598350749680382509056,9219226.507197108,269.06,3.30
