strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,22989482684638665462671689399935282819317440765629842768423553303308990682511551301760023920148838375816232236866656434162980850662974298429428681786821443584,19773757.610201437,267.48,5.99
m1,3,634360629531605028991236924734237531376965008313252706832277079603293185989783023943193063795392795663061252798307292489449472,19688920.969401553,267.48,325.59
m2,3,22989482684638665462671689399935282819317440765629842768423553303308990682511551301760023920148838375816232236866656434162980850662974298429428681786821443584,9068634.322796013,266.93,3.40
