strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,131025711768895717466972704502396390600849387165377691093024343209098948641416598609104592739103581676954054485844388298620928,19961510.046298496,337.34,5.96
m1,3,131025711768895717466972704502396390600849387165377691093024343209098948641416598609104592739103581676954054485844388298620928,19943507.51389836,337.34,383.76
m2,3,131025711768895717466972704502396390600849387165377691093024343209098948641416598609104592739103581676954054485844388298620928,9082701.117598038,336.54,3.18
