strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,131025711768895717466972704502396390600849387165377691093024343209098948641416598609104592739103581676954054485844388298620928,19961510.046298496,337.34,5.94
m1,2,131025711768895717466972704502396390600849387165377691093024343209098948641416598609104592739103581676954054485844388298620928,19946010.05229849,337.34,179.37
m2,2,131025711768895717466972704502396390600849387165377691093024343209098948641416598609104592739103581676954054485844388298620928,9082701.117598038,336.54,3.28
