strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,5430509543226333503549254369042981235764458353126954382838575457494143810404352,2037553.9864999473,109.24,1.87
m1,3,93085688147901999801649482892406319826544115250804370932035822889750963644622962688,2000277.6996999432,109.24,75.66
m2,3,5430509543226333503549254369042981235764458353126954382838575457494143810404352,682133.3428000808,107.79,1.04
