strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,11121189154160952494382625210150471701717431384715262121893006106051904210409198183010081876936099850277106333016331466632085897423000793553829888,19649205.273700677,270.95,6.00
m1,3,194430575868413087436293461102073401089346114299334067698293601909628583153379102818955487971217710232061948436599430793134080,19473092.573300477,270.95,311.72
m2,3,11121189154160952494382625210150471701717431384715262121893006106051904210409198183010081876936099850277106333016331466632085897423000793553829888,9145002.606602645,269.99,3.34
