strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,5717156406990418266908008886179448778987751895815096721747164078370069445286904777709351258606727885332463378577227776,5359810.857300316,155.36,3.24
m1,1,5717156406990418266908008886179448778987751895815096721747164078370069445286904777709351258606727885332463378577227776,5359810.857300316,155.36,15.33
m2,1,5717156406990418266908008886179448778987751895815096721747164078370069445286904777709351258606727885332463378577227776,1928711.2817997918,159.81,1.83
