strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,3188135820913026553554466766741363761757982743609113646794692482169132000766719281206110178113673905865469384695331611454996480,19258842.647297148,272.31,6.19
m1,3,2102362733048892485041856230155622452941194862201240315301591799634325267549320742623409753636326614700464405479424,19132359.67469705,272.31,311.65
m2,3,3188135820913026553554466766741363761757982743609113646794692482169132000766719281206110178113673905865469384695331611454996480,9260523.35209767,271.19,3.23
