strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,20417508358422727659149395380057255888359626129413597022602133504,638871.2366999878,70.35,1.09
m1,3,445723462673945243411232906522606875301176975442861987729506304,622540.9830999876,70.35,44.72
m2,3,20417508358422727659149395380057255888359626129413597022602133504,181903.99259997916,71.07,0.62
