strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,91516391566538441400971393525113786088816407158161473941555861282129648980729654210480693238793958212633718969717489664,19297495.443999086,262.90,6.08
m1,2,91516391566538441400971393525113786088816407158161473941555861282129648980729654210480693238793958212633718969717489664,19281267.10289904,262.90,177.75
m2,2,91516391566538441400971393525113786088816407158161473941555861282129648980729654210480693238793958212633718969717489664,9071867.436406564,265.53,3.35
