strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,169199495200107477047671043101158277120,669780.9024000083,75.39,1.11
m1,3,169199495200107477047671043101158277120,665757.7343000069,75.39,44.56
m2,3,169199495200107477047671043101158277120,185075.37420000372,70.05,0.61
