strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,199.69,4.39
m1,3,57653215688939442175317825451234233775369895580518033835479717092953316527456912163777906301357610361673082887386697826304,10408050.889099961,199.69,178.59
m2,3,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,4582069.062299641,197.60,2.41
