instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__30relations__49,1,9667727723014070006310530349539564907370992543559843840,662476.9487999995,9667727723014070006310530349539564907370992543559843840,662476.9487999995,9667727723014070006310530349539564907370992543559843840,183996.72229999027
TREE_graph__30relations__49,2,9667727723014070006310530349539564907370992543559843840,662476.9487999995,15246691500964938071770302501423331661507759990645602854852179787776,657843.2013000022,9667727723014070006310530349539564907370992543559843840,183996.72229999027
TREE_graph__30relations__49,3,9667727723014070006310530349539564907370992543559843840,662476.9487999995,53893909277295808508015006001294305277014558467670040677875449856,652206.2480000007,9667727723014070006310530349539564907370992543559843840,183996.72229999027
TREE_graph__30relations__49,4,9667727723014070006310530349539564907370992543559843840,662476.9487999995,53893909277295808508015006001294305277014558467670040677875449856,652206.2480000007,9667727723014070006310530349539564907370992543559843840,183996.72229999027
TREE_graph__30relations__49,5,9667727723014070006310530349539564907370992543559843840,662476.9487999995,53893909277295808508015006001294305277014558467670040677875449856,652206.2480000007,9667727723014070006310530349539564907370992543559843840,183996.72229999027
TREE_graph__30relations__33,1,2864808645173674255249671772468125801612654550317574656098304,639860.3756999804,2864808645173674255249671772468125801612654550317574656098304,639860.3756999804,2864808645173674255249671772468125801612654550317574656098304,182513.97679998755
TREE_graph__30relations__33,2,2864808645173674255249671772468125801612654550317574656098304,639860.3756999804,2864808645173674255249671772468125801612654550317574656098304,636348.2637999817,2864808645173674255249671772468125801612654550317574656098304,182513.97679998755
TREE_graph__30relations__33,3,2864808645173674255249671772468125801612654550317574656098304,639860.3756999804,2864808645173674255249671772468125801612654550317574656098304,636264.5886999834,2864808645173674255249671772468125801612654550317574656098304,182513.97679998755
TREE_graph__30relations__33,4,2864808645173674255249671772468125801612654550317574656098304,639860.3756999804,2864808645173674255249671772468125801612654550317574656098304,636176.8493999802,2864808645173674255249671772468125801612654550317574656098304,182513.97679998755
TREE_graph__30relations__33,5,2864808645173674255249671772468125801612654550317574656098304,639860.3756999804,2864808645173674255249671772468125801612654550317574656098304,635887.4075999816,2864808645173674255249671772468125801612654550317574656098304,182513.97679998755
TREE_graph__30relations__16,1,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,182048.77079999473
TREE_graph__30relations__16,2,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,182048.77079999473
TREE_graph__30relations__16,3,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,182048.77079999473
TREE_graph__30relations__16,4,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,657999.7090999965,2857097520851488566963655920742212765681063127221796864,182048.77079999473
TREE_graph__30relations__16,5,2857097520851488566963655920742212765681063127221796864,658080.9049999978,2857097520851488566963655920742212765681063127221796864,657999.7090999965,2857097520851488566963655920742212765681063127221796864,182048.77079999473
TREE_graph__30relations__14,1,1512183902087143338384504366675199970753564440619390318149632,678339.6126000092,1512183902087143338384504366675199970753564440619390318149632,678339.6126000092,1512183902087143338384504366675199970753564440619390318149632,183082.60620000082
TREE_graph__30relations__14,2,1512183902087143338384504366675199970753564440619390318149632,678339.6126000092,211402282637555757738062948709951710447137577039516663808,661655.3973000087,1512183902087143338384504366675199970753564440619390318149632,183082.60620000082
