strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,458433400277194966196986733944433472444518135416280005161056126525329708284374761964914007158083251450666062715271406474510729216,11211805.50919971,198.86,4.37
m1,3,8278913227364305557750221471105331225721055820681033209172714849056180323217502240734147348170752794548861661085696,11146591.8962997,198.86,245.83
m2,3,458433400277194966196986733944433472444518135416280005161056126525329708284374761964914007158083251450666062715271406474510729216,4495780.6914001135,197.33,2.42
