strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,9152131172322130359803205935915989234434752302398595047943979472349067904710594130339216473718784,2195664.2609999552,107.43,1.99
m1,1,9152131172322130359803205935915989234434752302398595047943979472349067904710594130339216473718784,2195664.2609999552,107.43,8.90
m2,1,9152131172322130359803205935915989234434752302398595047943979472349067904710594130339216473718784,657010.6533999697,107.88,1.13
