strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,31842057473083905081391473601807974217787322613295132114087598893486194785564649125510154083515996821325882127139471360,19995006.09879823,265.50,6.06
m1,2,31842057473083905081391473601807974217787322613295132114087598893486194785564649125510154083515996821325882127139471360,19995006.09879823,265.50,177.93
m2,2,31842057473083905081391473601807974217787322613295132114087598893486194785564649125510154083515996821325882127139471360,9146589.60989586,265.67,3.37
