strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,5000278223823940324605144743939131424175722113569571697003854867514455623150249378004825579321243871941564938524058609254400,18783082.928399667,269.92,5.95
m1,3,4726147650839103181244302068337610013277787355753776362000618216564012334829891920473231234372171578984530614157312,18767803.41469949,269.92,312.13
m2,3,5000278223823940324605144743939131424175722113569571697003854867514455623150249378004825579321243871941564938524058609254400,9021495.517102076,266.14,3.26
