strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,66736116158133617624756779129383612430341571746473640088832495062864773657676014983548564037563620777443652040585641984,11002555.68550045,198.03,4.34
m1,2,1024694967945360245696410948525472468162919211493201203941453620342731905156804155863891816010771783940571136,10979726.866000468,198.03,150.86
m2,2,66736116158133617624756779129383612430341571746473640088832495062864773657676014983548564037563620777443652040585641984,4514584.94270173,192.77,2.45
