instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__70relations__36,1,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,9384794.161703931
TREE_graph__70relations__36,2,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,26425604992841285926608639628564069766184580997945962863936541144153508350668053053622172428424221556736,19814054.313903585,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,9384794.161703931
TREE_graph__70relations__36,3,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,2665954169519560423681674789743147452968763130831558078033950393071248222851254494302681987582546921690546529852490514432,19766000.863703437,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,9384794.161703931
TREE_graph__70relations__36,4,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,193349595030598983691180659135262851476198198539443600955831221965628156149900458083129542039306240,19570585.047603246,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,9384794.161703931
TREE_graph__70relations__36,5,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,19975077.0281039,193349595030598983691180659135262851476198198539443600955831221965628156149900458083129542039306240,19568362.746603414,6853607183089794972444592560786546405715202788861241560696989586331281793718344027269025421109790600078642471849951232,9384794.161703931
TREE_graph__70relations__30,1,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,19966006.383699782,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,19966006.383699782,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,9110450.327102492
TREE_graph__70relations__30,2,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,19966006.383699782,13836710107209338910221033117332638250971596866806119145021412900337053746337612264633600842262653867503216954883771780956754060868916908158405836800,19918439.57629975,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,9110450.327102492
TREE_graph__70relations__30,3,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,19966006.383699782,13836710107209338910221033117332638250971596866806119145021412900337053746337612264633600842262653867503216954883771780956754060868916908158405836800,19917338.50229964,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,9110450.327102492
TREE_graph__70relations__30,4,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,19966006.383699782,13836710107209338910221033117332638250971596866806119145021412900337053746337612264633600842262653867503216954883771780956754060868916908158405836800,19910728.044399455,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,9110450.327102492
TREE_graph__70relations__30,5,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,19966006.383699782,4422702816565703900322571557449965985947800650667032695328453462361799066084215605420194382272836081204449116017393664,19761972.301299177,5147219345486213968767660700128224088837258024215865306022272712449446313558243535292268621894832344909076275697771675442287514374410521712000252248064,9110450.327102492
