strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,82754199224957119308671201649716746672405367491623168488601077001044487929181191762554884251880062649704580686807040,19817395.724500503,267.90,6.31
m1,2,106824834857885169396883092420449403744187373454067572078969384738629774420776022732671617530619018516236328763392,19779293.937400494,267.90,177.09
m2,2,82754199224957119308671201649716746672405367491623168488601077001044487929181191762554884251880062649704580686807040,9182569.539398817,264.90,3.33
