strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,196.98,4.31
m1,2,6818939389878037810502885904205078574365665521142929866645855252884275841477851668697414483123217690591429132288,10766645.501600375,196.98,79.30
m2,2,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,4465270.950600075,196.42,2.39
