strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,33288562859631744188513499245349087089798942251004976068488251111172474450339453599296920973233605454630702593081344,10840336.966699624,196.45,4.55
m1,1,33288562859631744188513499245349087089798942251004976068488251111172474450339453599296920973233605454630702593081344,10840336.966699624,196.45,20.86
m2,1,33288562859631744188513499245349087089798942251004976068488251111172474450339453599296920973233605454630702593081344,4554649.346899519,195.81,2.48
