instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__40relations__34,1,26597837778635588679588078199303007844597251245161437760386231226684147761152,2099746.8106000167,26597837778635588679588078199303007844597251245161437760386231226684147761152,2099746.8106000167,26597837778635588679588078199303007844597251245161437760386231226684147761152,678120.1779999151
TREE_graph__40relations__34,2,26597837778635588679588078199303007844597251245161437760386231226684147761152,2099746.8106000167,26597837778635588679588078199303007844597251245161437760386231226684147761152,2095434.8665000265,26597837778635588679588078199303007844597251245161437760386231226684147761152,678120.1779999151
TREE_graph__40relations__34,3,26597837778635588679588078199303007844597251245161437760386231226684147761152,2099746.8106000167,1345281511371794150117374148216177873133770652862894557212790700900352,2086875.6585000416,26597837778635588679588078199303007844597251245161437760386231226684147761152,678120.1779999151
TREE_graph__40relations__34,4,26597837778635588679588078199303007844597251245161437760386231226684147761152,2099746.8106000167,46558050701816105282705569446539175714671375612661197239746560,2027999.7440000407,26597837778635588679588078199303007844597251245161437760386231226684147761152,678120.1779999151
TREE_graph__40relations__34,5,26597837778635588679588078199303007844597251245161437760386231226684147761152,2099746.8106000167,46558050701816105282705569446539175714671375612661197239746560,2027999.7440000407,26597837778635588679588078199303007844597251245161437760386231226684147761152,678120.1779999151
TREE_graph__40relations__30,1,622516641137636237984105665117658408645146166718785125548113440364560384,2191312.9594999654,622516641137636237984105665117658408645146166718785125548113440364560384,2191312.9594999654,622516641137636237984105665117658408645146166718785125548113440364560384,678710.6750000208
TREE_graph__40relations__30,2,622516641137636237984105665117658408645146166718785125548113440364560384,2191312.9594999654,3991286444426333647350555512865067349673045073967915496312783503360,2165313.9788999595,622516641137636237984105665117658408645146166718785125548113440364560384,678710.6750000208
TREE_graph__40relations__30,3,622516641137636237984105665117658408645146166718785125548113440364560384,2191312.9594999654,3991286444426333647350555512865067349673045073967915496312783503360,2165313.9788999595,622516641137636237984105665117658408645146166718785125548113440364560384,678710.6750000208
TREE_graph__40relations__30,4,622516641137636237984105665117658408645146166718785125548113440364560384,2191312.9594999654,3991286444426333647350555512865067349673045073967915496312783503360,2165313.9788999595,622516641137636237984105665117658408645146166718785125548113440364560384,678710.6750000208
TREE_graph__40relations__30,5,622516641137636237984105665117658408645146166718785125548113440364560384,2191312.9594999654,1075891831080436961641944980402693263057920225189194560853508096,2157320.5312999603,622516641137636237984105665117658408645146166718785125548113440364560384,678710.6750000208
TREE_graph__40relations__9,1,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,2133583.6980999615,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,2133583.6980999615,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,681948.1952001031
TREE_graph__40relations__9,2,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,2133583.6980999615,2138788052201485870588771600846788697237647805126803456,2095226.3256999687,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,681948.1952001031
TREE_graph__40relations__9,3,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,2133583.6980999615,2138788052201485870588771600846788697237647805126803456,2094200.3433999715,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,681948.1952001031
TREE_graph__40relations__9,4,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,2133583.6980999615,2138788052201485870588771600846788697237647805126803456,2094200.3433999715,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,681948.1952001031
TREE_graph__40relations__9,5,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,2133583.6980999615,2138788052201485870588771600846788697237647805126803456,2094058.84909997,190951164759881702912002673903599061385675352599952644784014452759841776822244081664,681948.1952001031
TREE_graph__40relations__28,1,925540821235821116165488325246735852031298240512,2167180.2564000017,925540821235821116165488325246735852031298240512,2167180.2564000017,925540821235821116165488325246735852031298240512,677017.0504000486
TREE_graph__40relations__28,2,925540821235821116165488325246735852031298240512,2167180.2564000017,88233622589551223217862709105668427447768047010498717607797435924480,2164950.076300001,925540821235821116165488325246735852031298240512,677017.0504000486
TREE_graph__40relations__28,3,925540821235821116165488325246735852031298240512,2167180.2564000017,88233622589551223217862709105668427447768047010498717607797435924480,2161802.6237,925540821235821116165488325246735852031298240512,677017.0504000486
TREE_graph__40relations__28,4,925540821235821116165488325246735852031298240512,2167180.2564000017,763243674117624612890496664984346056198077362795173172477952,2133633.3362000072,925540821235821116165488325246735852031298240512,677017.0504000486
TREE_graph__40relations__28,5,925540821235821116165488325246735852031298240512,2167180.2564000017,763243674117624612890496664984346056198077362795173172477952,2132716.1323999986,925540821235821116165488325246735852031298240512,677017.0504000486
TREE_graph__40relations__2,1,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,12246251845445353002378275802202822571841919805433053184,656399.0747000925
TREE_graph__40relations__2,2,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,12246251845445353002378275802202822571841919805433053184,656399.0747000925
TREE_graph__40relations__2,3,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,308849479225472958772659158087095648748006762259054195638272,2047691.9623000761,12246251845445353002378275802202822571841919805433053184,656399.0747000925
TREE_graph__40relations__2,4,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,308849479225472958772659158087095648748006762259054195638272,2047691.9623000761,12246251845445353002378275802202822571841919805433053184,656399.0747000925
TREE_graph__40relations__2,5,12246251845445353002378275802202822571841919805433053184,2061746.6032000757,308849479225472958772659158087095648748006762259054195638272,2047691.9623000761,12246251845445353002378275802202822571841919805433053184,656399.0747000925
TREE_graph__40relations__48,1,16423617050232942739649154277460587520508558738511789817856,2181707.9050000333,16423617050232942739649154277460587520508558738511789817856,2181707.9050000333,16423617050232942739649154277460587520508558738511789817856,695388.6342001022
TREE_graph__40relations__48,2,16423617050232942739649154277460587520508558738511789817856,2181707.9050000333,266214575168555660653686390554241931339253989965381515048520584655776797163520,2162384.506500035,16423617050232942739649154277460587520508558738511789817856,695388.6342001022
TREE_graph__40relations__48,3,16423617050232942739649154277460587520508558738511789817856,2181707.9050000333,266214575168555660653686390554241931339253989965381515048520584655776797163520,2162206.5448000296,16423617050232942739649154277460587520508558738511789817856,695388.6342001022
TREE_graph__40relations__48,4,16423617050232942739649154277460587520508558738511789817856,2181707.9050000333,266214575168555660653686390554241931339253989965381515048520584655776797163520,2161313.2219000272,16423617050232942739649154277460587520508558738511789817856,695388.6342001022
TREE_graph__40relations__48,5,16423617050232942739649154277460587520508558738511789817856,2181707.9050000333,127472473214813015282578413811121850534983300733529612796948061485404736454656,2142319.571100018,16423617050232942739649154277460587520508558738511789817856,695388.6342001022
TREE_graph__40relations__17,1,243497314353563512798134740119126709221697052276339170362099067209436364800,2038209.428799922,243497314353563512798134740119126709221697052276339170362099067209436364800,2038209.428799922,243497314353563512798134740119126709221697052276339170362099067209436364800,664094.7805999615
TREE_graph__40relations__17,2,243497314353563512798134740119126709221697052276339170362099067209436364800,2038209.428799922,108916960364201142754372597035434365421843941828593636997122060653166592,2017343.763799923,243497314353563512798134740119126709221697052276339170362099067209436364800,664094.7805999615
TREE_graph__40relations__17,3,243497314353563512798134740119126709221697052276339170362099067209436364800,2038209.428799922,108916960364201142754372597035434365421843941828593636997122060653166592,2015708.9954999243,243497314353563512798134740119126709221697052276339170362099067209436364800,664094.7805999615
TREE_graph__40relations__17,4,243497314353563512798134740119126709221697052276339170362099067209436364800,2038209.428799922,196376010339909934997686845855801663281211646219351408470744264343552,2011087.8196999205,243497314353563512798134740119126709221697052276339170362099067209436364800,664094.7805999615
TREE_graph__40relations__17,5,243497314353563512798134740119126709221697052276339170362099067209436364800,2038209.428799922,196376010339909934997686845855801663281211646219351408470744264343552,2009120.6155999317,243497314353563512798134740119126709221697052276339170362099067209436364800,664094.7805999615
