strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,64918736051873311425367521604053201806031326540888159108727166268639126182231774233349775082591008425095121076224,10973894.840398801,191.63,4.35
m1,2,64918736051873311425367521604053201806031326540888159108727166268639126182231774233349775082591008425095121076224,10972025.500798788,191.63,147.13
m2,2,64918736051873311425367521604053201806031326540888159108727166268639126182231774233349775082591008425095121076224,4535024.45749671,191.64,2.35
