strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,13388752381092592824135639449661906592915783680,656811.303599997,68.04,1.09
m1,3,77651992945935127619488338549281539222832939008,649416.9141999992,68.04,43.49
m2,3,13388752381092592824135639449661906592915783680,181342.39949998815,68.97,0.59
