strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,13944861008117832159841529157326175103968040494696105297367276071965776883256118455196635572432020548733469024039304631988704903437014353166991360,19248636.147200234,337.37,5.98
m1,3,195836844125760239423196664027788420928989365371089148877599221072185027788723476660506732551976297332884627833122731825402154170974208,19073743.617000148,337.37,381.84
m2,3,13944861008117832159841529157326175103968040494696105297367276071965776883256118455196635572432020548733469024039304631988704903437014353166991360,9239611.856794292,336.13,3.29
