strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,13944861008117832159841529157326175103968040494696105297367276071965776883256118455196635572432020548733469024039304631988704903437014353166991360,19248636.147200234,337.37,6.27
m1,1,13944861008117832159841529157326175103968040494696105297367276071965776883256118455196635572432020548733469024039304631988704903437014353166991360,19248636.147200234,337.37,28.87
m2,1,13944861008117832159841529157326175103968040494696105297367276071965776883256118455196635572432020548733469024039304631988704903437014353166991360,9239611.856794292,336.13,3.41
