strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,200.21,4.44
m1,1,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,200.21,20.56
m2,1,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,4495290.357699228,199.25,2.44
