strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,44038113593307061100057746477511957837025629492046039931663997971674087059087618325745510814825218958357509130552344576,18864799.540001914,263.54,6.29
m1,2,44038113593307061100057746477511957837025629492046039931663997971674087059087618325745510814825218958357509130552344576,18859099.240201887,263.54,111.88
m2,2,44038113593307061100057746477511957837025629492046039931663997971674087059087618325745510814825218958357509130552344576,9171433.615400726,263.06,3.37
