strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,72810445644198236692646500769800981873903700359730247869375108298955463507993174212608,5154465.852900032,155.40,3.01
m1,3,72810445644198236692646500769800981873903700359730247869375108298955463507993174212608,5150909.523400035,155.40,122.33
m2,3,72810445644198236692646500769800981873903700359730247869375108298955463507993174212608,1910413.0915000916,154.15,1.69
