strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,29221476748971188964445702425887450980722307381485679026680773936316788004282995438653157021276451028831705443691394787966976,19252251.017199684,268.94,6.06
m1,2,29221476748971188964445702425887450980722307381485679026680773936316788004282995438653157021276451028831705443691394787966976,19246015.359299682,268.94,110.04
m2,2,29221476748971188964445702425887450980722307381485679026680773936316788004282995438653157021276451028831705443691394787966976,9209252.823095972,269.30,3.33
