strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,2623614270587621525084280836036008521766961700368905038680788914325630658138434412848514274976076427698455677513395980992512,19772071.332798436,270.49,5.94
m1,3,362959399728334922547393865068286029339249448258886311763860591429378798053348739962512913588724109741987412836352,19717022.81839837,270.49,383.37
m2,3,2623614270587621525084280836036008521766961700368905038680788914325630658138434412848514274976076427698455677513395980992512,9191309.17639772,265.98,3.31
