strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,120365486619093729562214576587000975792137514945464178050504428831568303995936221932539614055014187919567142857441858289563336704,19177337.889699705,269.39,5.95
m1,2,120365486619093729562214576587000975792137514945464178050504428831568303995936221932539614055014187919567142857441858289563336704,19177041.10499981,269.39,111.51
m2,2,120365486619093729562214576587000975792137514945464178050504428831568303995936221932539614055014187919567142857441858289563336704,8991565.17579994,268.70,3.65
