strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,421950604370889619490358850960971304172095485717993250746050990095614868278078506748530784056118126487799488053248,19312348.809199214,263.04,6.28
m1,3,5710328403838494235287854880507577480445374132814677946153357863984539445471526274945206716731470480021524530589597696,19281926.878199283,263.04,380.77
m2,3,421950604370889619490358850960971304172095485717993250746050990095614868278078506748530784056118126487799488053248,9201891.825401014,263.05,3.46
