strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,421950604370889619490358850960971304172095485717993250746050990095614868278078506748530784056118126487799488053248,19312348.809199214,263.04,6.48
m1,1,421950604370889619490358850960971304172095485717993250746050990095614868278078506748530784056118126487799488053248,19312348.809199214,263.04,28.81
m2,1,421950604370889619490358850960971304172095485717993250746050990095614868278078506748530784056118126487799488053248,9201891.825401014,263.05,3.50
