strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,1346590385342491511639177325828096235207814553265948831203643733632775099928337711104,10465497.904300373,194.34,4.53
m1,1,1346590385342491511639177325828096235207814553265948831203643733632775099928337711104,10465497.904300373,194.34,20.97
m2,1,1346590385342491511639177325828096235207814553265948831203643733632775099928337711104,4531971.763300693,197.59,2.48
