strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,1,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,10850056.894900495,199.16,4.55
m1,1,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,10850056.894900495,199.16,21.06
m2,1,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,4572424.587200574,198.33,2.46
