strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,11404820895014831274036987072830252811851471152943791670475942445317905505449489750195576574697420662375364689920,19355553.581800327,265.33,6.05
m1,3,10827722041165519857333715189815106201809201154467319479081719485214980406520363131716027147070966388582950895616,19278653.691900417,265.33,315.52
m2,3,11404820895014831274036987072830252811851471152943791670475942445317905505449489750195576574697420662375364689920,9232216.035898967,264.92,3.34
