strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,207768106796155019856773139567634651264072542153103110399758612662583296,2107275.342099926,107.30,1.91
m1,2,59970036486270071404962353925097845418479704023324669808688821170535618300633677824,2092503.2293999547,107.30,34.40
m2,2,207768106796155019856773139567634651264072542153103110399758612662583296,668605.5416999132,106.63,1.06
