strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,3,90743160718888975215742716260472070417958075133172295725487653858805731212888718551420398182388922843136,10674255.375400558,196.93,4.34
m1,3,16767767846231100343296935757479158452367120445494311556935204788418427539279762964349690839952493555640206144042379430068224,10657905.327500429,196.93,238.28
m2,3,90743160718888975215742716260472070417958075133172295725487653858805731212888718551420398182388922843136,4555231.042499797,192.67,2.42
