strategy,k,db_cost,energy,sample_ms,fusion_ms
m0,2,537967219798585737419993345301756290742100677550455530521855476242436547544281349867452942570045308928,19327558.16470098,270.59,6.01
m1,2,537967219798585737419993345301756290742100677550455530521855476242436547544281349867452942570045308928,19318775.851501122,270.59,177.10
m2,2,537967219798585737419993345301756290742100677550455530521855476242436547544281349867452942570045308928,9085502.313098961,270.72,3.35
